name,Town/City
Breller Ltd,London
Brent Pharmacy,London
BRENT SIKH CENTRE,LONDON
Brewhouse & Kitchen Ltd,London
Brewin Dolphin Limited,London
BRG Appliances Limited,London
BriceAmery Capital Ltd,London
Brickendon Consulting Limited,LONDON
Brickwall Films Limited,London
Bridge Academy,London
Bridge Capital Ltd,London
Bridge International Academies Limited,London
BRIDGE MODELS LIMITED,LONDON
Bridge SGI Limited,LONDON
Bridge Training & Events Ltd,London
Bridgepoint Advisers Limited,London
Bridges Fund Management Limited,London
Bridge-U Limited,London
Bridgewater Entertainments Ltd t/aThe Ledbury Restaurant,London
Brigade Capital UK LLP,London
Bright Little Labs,London
Bright Partnerships Worldwide Limited,London
Bright Red Dot Foundation T/A CAN,London
Bright Six Limited,London
BRIGHTCOVE UK LIMITED,London
Brightedge,London
Brightside Technology Ltd,London
BrightTALK Ltd,London
Brillio Technologies Private Limited,London
Brindisa Tapas Kitchens Limited,London
BRISQQ LTD.,London
Brissenden Limited (trading as The Frameworks),London
Brit Group Services Limited,London
BRIT Services (Technology) Limited,London
Britain Accountants Ltd,London
Britain China Trading Company Limited (BCT Ltd),London
Britannia Education Trust,London
Britannia Row Productions Ltd,London
Britannica Business Services Ltd,London
Brite Green Ltd,London
British American Tobacco Plc,London
British Arab Commercial Bank Limited,London
BRITISH AZERBAIJANI CHAMBER OF COMMERCE,LONDON
British Beer and Pub Association,London
British Council (Language Assistants),London
British Council,London
British Council,London
British Fencing,London
British Heart Foundation,London
BRITISH HORSERACING AUTHORITY,LONDON
British Hospitality Association,London
British Library,London
British Olympic Association,London
British Orthopaedic Assocation,LONDON
British Poultry Council Limited,London
British Red Cross,London
British Retail Consortium,London
British Society for Immunology,London
British Standards Institution,London
British Study Centres School of English Ltd,London
British Tourist Authority,London
British Transport Police,London
British Universities & Colleges Sport,London
BRITTANIA HINDU(SHIVA)TEMPLE TRUST,LONDON
Broad Reach,London
Broadcast Session Limited,London
Broadridge Financial Solutions Ltd,London
Broadway Technology (UK) Limited,LONDON
Brockton Capital LLP,London
Brolly UK Technology Limited,London
Brompton Drinks t/a Katlist,London
Brondesbury Sports Club,London
BRONZE NETWORK LIMITED,LONDON
Bronzemarch Trading Limited,London
brook henderson group ltd,London
Brook Street Planning Limited,London
Brook Street,LONDON
Brookfield Global Asset Management Limited,London
Brookfield Park Surgery,London
BROOKLAND PARTNERS LLP,LONDON
BROOKLYN BOWL (UK) LIMITED,London
Brothers and Sisters,London
Browhaus Limited,London
Brown Advisory Limited,London
Brown Brothers Harriman Investor Services Limited,London
Brown Rudnick LLP,London
Brown Shipley & Co Limited,London
"Brown-Forman Beverages, Europe, Limited",London
Browns (South Molton Street) Ltd,London
Brownswood Music Ltd.,London
Bruce And Brown Ltd,London
Bruce Shaw LLP,London
Brummer & Partners Services (UK) Limited,London
Brunswick Consultants LTD,London
Brunswick House Cafe Limited,London
Bryan Cave,London
Bryanston Resources (UK) Limited,London
Bryant Artists Ltd,London
Bryden Wood Ltd,London
BSA Business Software Alliance Inc,London
BSF International Ltd,London
BSS Associates Ltd,London
B-Stock Solutions Ltd,London
BT Group,London
BTC GROUP,LONDON
BTG International Limited,London
BTIG Limited,London
BTS in London Limited,London
Bubble Ltd,London
Bubble Television Group Ltd,London
Buchanan Advertising UK Ltd,London
Buck Consultants Limited,London
BUCKLEY GRAY YEOMAN,LONDON
Buckthorn Corporate Limited,London
Buddhist Aid Trust,London
Budding Learners Ltd,London
Buffalo Tours UK Ltd,London
BUFFO LIMITED,LONDON
BUGS Bioscience Ltd,London
Buhler UK Limited,London
Buildburo Limited,London
BUILDING DESIGN PARTNERSHIP LIMITED t/a BDP Ltd,London
Building Lives Training Academy CIC,London
BUILTAIN LIMITED,LONDON
BUJ Architects LLP,London
Bulldozer Media Ltd.,London
Bulletproof Design Limited,London
Bullfrog Digital LTD,London
"Bullhorn International, Limited",London
BUNAC,LONDON
BUNGE CORPORATION LIMITED,LONDON
BUNZL PLC,LONDON
Buongiorno UK Limited,London
Bupa Cromwell Hospital,London
Bupa,London
Burberry Limited,London
Bureau Consulting Limited,London
Bureau de Change Design Office,London
Bureau Solutions Limited,London
Bureaux Design Associates Llp,London
Burford Capital (UK) Limited,London
BURGER AND LOBSTER RESTAURANT GROUP LTD,LONDON
Buried Hill Services (UK) Ltd,London
Burlingtown UK Limited,London
Burner Systems International Ltd,London
Burns Owens Partnership Ltd t/a BOP Consulting (LTD),London
BURNTWOOD SCHOOL,LONDON
Busaba Eathai Limited,London
Business & Human Rights Resource Centre,London
Business 3.0 Limited,London
Business Centric Services Group Ltd,London
Business Clubs Limited T/A One Alfred Place,London
Business Data Patners Limited,London
BUSINESS DATA QUALITY LTD,LONDON
Business Disability Forum,London
Business Horizon International Group Ltd,London
Business ICT Solutions Ltd,London
BUSINESS INSIDER EUROPE LIMITED,London
Business Integration Partners SPA,London
Business Monitor International,LONDON
BusinessMobiles.com Ltd,London
Buster and Punch,London
Busuu Limited,London
"Butler Snow UK, LLP",London
Butler Tech (UK) Ltd,London
Buyagift Plc,London
BuyerDeck Limited,London
buyfinediamonds.com LTD,London
Buzz Radar Ltd,London
Buzzacott LLP,London
BuzzFeed UK Limited,London
Bvlgari (UK) Ltd,London
BVR Ltd,London
BW Interiors Limited,London
Bycity Limited,London
"BYD (U.K.) CO., LTD.",London
Byfield Consultancy Limited,London
BYLINE MEDIA LIMITED,LONDON
Bywaters (Leyton) Limited,London
C & C ALPHA GROUP LIMITED,London
C & C SEARCH LTD,LONDON
C & S CHURCH  OF ZION,LONDON
C D L London Limited,London
C S Global Partners,London
C SQUARED NETWORKS LTD,LONDON
C&C Management Services Ltd,London
C. C. Young & Co.,London
C2FO Ltd,London
C40 Cities Climate Leadership UK,London
C5 Communications Ltd,London
C6 Intelligence Information System Ltd,London
CAA-GBG UK LIMITED,LONDON
Cabinet Office,London
Cabot Partners Limited,London
CAC EUROPE Limited,London
Cachematrix UK Limited,London
CACI Limited,London
CACTUS COMMUNICATIONS LIMITED,LONDON
CADA Design Group Ltd,London
Cadence Innova,London
Cadran Services Limited,London
"Cadwalader, Wickersham & Taft LLP",London
Cafe OTO Limited,London
Cafe Royal Management Limited,London
Cafédirect Producers' Foundation,London
CAFOD,London
CAGE Advocacy UK Ltd,London
Cahill Gordon & Reindel LLP,London
Cairblan Ltd,London
Cairn Capital Group Limited,London
Cairneagle Associates LLP,London
Cairngorm Capital Partners LLP,London
Cakes & Bakes,London
Calamos Investments LLP,London
Calastone Limited,London
Calipsa Limited,London
Calita Limited,London
Calix Networks UK Ltd,London
Call Handling Services Ltd,London
Calla Lily Personal Care Ltd,London
Calleija Ltd,London
Callender Howorth Interior Design Ltd,London
Callidus Software Limited,London
Callison Europe Ltd,London
CallisonRTKL-UK Ltd.,London
"CALPIS AMERICA, INC. EUROPE REPRESENTATIVE OFFICE",London
Calsoft Labs UK Private LTD,London
CALVARY MINISTRIES WORLDWIDE,LONDON
Calvary Pentecostal Minstries,London
Calvary Temple United Pentecostal Church,London
Calvert 22 Foundation,London
CALYPSO TECHNOLOGY LIMITED,LONDON
Calzprime International Ltd,London
Camberview Partners Europe LLP,London
Cambridge Associates Limited,London
Cambridge Eonomic Policy Associates Ltd,London
Camden and Islington NHS Foundation Trust,London
Camden Arts Centre,London
Camden Eye Clinic,London
Camden Town Brewery Ltd,London
Cameron Mackintosh Ltd,London
Camilla Baldwin,London
Camp XL,London
Campaign Monitor Eurrope UK Ltd,London
CAMPBELL HAY LTD,LONDON
Campbell Johnston Clark Limited,London
Campbell North,London
Campbell Reith Management Services Ltd,London
Campbell Rigg International LImited,London
Camron Public Relations Limited,London
Canaccord Genuity Limited,London
Canaccord Genuity Wealth Limited,London
Canada Pension Plan Investment Board,London
Canadian Broadcasting Corporation,London
Canadian Imperial Bank of Commerce,London
Canadian Solar UK Limited,London
Canara Bank,London
Canary Wharf College,London
Canary Wharf Group PLC,London
Cancer Research UK,London
Candesic,London
CANDEYPARKER LEGAL SERVICES LIMITED,London
Candoco Dance Company,London
Candy & Candy Ltd,London
Canelo Digital Publishing Limited,London
Cannon Corporate Limited,London
Canon Collins Educational & Legal Assistance Trust,London
Canonical UK Limited,London
CANOPIUS SERVICES LIMITED,LONDON
Canopy Media Management,London
Canuck Capital Limited,London
Canyon Capital Advisors (Europe) Ltd,London
CAPA The Global Education Network Ltd.,London
Capacitas Ltd,London
Cape Ann Asset Management Ltd,London
Cape Design and Build Ltd,London
Capita Business Services Limited T/A Orange Bus,London
Capita Customer Management Limited,London
Capita Digital & Software Solutions a division of Capita Business Services L,London
Capita IT Services Limited,London
Capita IT Services,London
Capita Property and Infrastructure Ltd,London
Capital Accountants Ltd,London
Capital Chase Limited,London
Capital City Academy,London
Capital Computer Software Ltd,London
Capital Construction and Development Limited,London
Capital Economics Ltd,London
Capital Hill Hotels Group London Limited,London
Capital International Limited,London
Capital Markets Trading UK LLP,London
Capital Novus Limited,London
Capital Physio Limited,London
Capital Strategy Corporate Finance,London
CAPITALSTRUCTURE LIMITED,LONDON
Capitanio Sisters,london
Capman Real Estate UK Ltd,London
CAPRICE CLOUD TECHNOLOGIES LTD,LONDON
Caprice Holdings Ltd,London
Capricorn Capital Partners UK Ltd t/a Capricorn,London
Capricorn Financial Consultancy Ltd,London
Capstone Europe Partners LLP,London
Capstone Investment Advisors  (UK) LLP,London
Captify Media Ltd,London
Captured Software Limited (trading as Hive Learning),London
Capula Investment Services Limited,London
CapVest Partners LLP,London
Caradigm UK Limited,London
Carallon Ltd,London
Caravela Limited,London
Carbon Accountancy Limited,London
Carbon Credentials Energy Services Ltd,London
Carbon Games Limited,London
Carbon Smart Limited,London
Carbon Tracker Initiative Limited,London
CarbonNV Limited,London
Cardano Risk Management Limited,London
Cardiff LNG (UK) Ltd,London
Cardlytics UK Limited,London
Cardonet Consultancy Ltd,London
Cards Prepaid Limited trading as Bankable,London
Cardwell Investment Technologies UK Limited,London
CARE (Christian Action Research and Education),London
CARE International UK,London
Care Outlook Ltd,LONDON
CareCamp Ltd (Dillons Pharmacy),London
Career Moves,LONDON
CareerBuilder UK Ltd,London
CareerJet Limited,London
Caretower Ltd,London
Careworld London Limited,London
Carey Olsen LLP,London
Carfax Educational Consultants Limited,London
Carisbrook Partners LLP,London
Caritas Anchor House,London
CARLISLE DESIGN STUDIO LIMITED,LONDON
Carlson Capital UK LLP,London
Carlton Books Limited,London
Carlyle Kingswood Global Ltd,London
Carmelite Missionaries,London
Carmelli Bakeries Ltd.,London
Carmichael Fisher Limited,London
CARMIGNAC GESTION LUXEMBOURG S.A.,LONDON
Carmody Groarke Ltd,London
Carnaby Sales And Distribution Limited,London
CARNALL FARRAR LIMITED,LONDON
Caroline Dunkley DJ and Artist Management,London
CARRENZA LTD,London
CARRHAE CAPITAL LLP,LONDON
CARROLL  FLETCHER LLP,LONDON
Carroll & Partners Limited,London
CARTE BLANCHE ARCHITECTURE AND DESIGN LIMITED,London
Carter-Ruck Solicitors,London
Cartesian Limited,London
Cartwright Pickard Architects,London
Carve Consulting LLP,London
carwow Ltd.,London
Casco Financial Services Limited,London
Casewise Systems Limited,London
Casewise Systems Limited,London
Cashfoundry Limited,London
Casio Electronics Co Limited,London
CASPIAN HEALTHCARE LTD T/A (WATERFALL HOUSE DENTAL SURGERY),LONDON
Cast & Crew Entertainment Services Ltd,London
Cast Software Limited,London
Castell Safety International Ltd,London
Castle Harbour Investments Limited,London
Castlecrafts T/A Dewhirst Ladieswear,London
Castleforge Partners Limited,London
Castleton Commodities UK Limited,London
Casual Dining Services Limited,London
Catalysis Communications Ltd,London
Catalyst Activewear,London
Catalyst Capital LLP,London
Catalyst Global Media Limited,London
Catalyst Housing,London
"Catch the Fire, London",London
Catch22 Charity Limited,London
Catering UK Ltd,London
Cath Kidston Limited,London
Catherine Lodge,London
CATO creative Ltd,London
Caucasus Minerals Limited,London
Cavendish Corporate Finance LLP,London
Cavendish Learning (London) Ltd,LONDON
Caxton Europe Asset Management Limited,London
Caxton FX LTD,London
Caygan Capital Ltd,London
Cazar Search Limited,London
CB PAYMENTS LTD,LONDON
CB&I UK LIMITED,London
CBH Europe Limited,London
Cboe Europe Limited,London
CBOE FX Europe Limited,London
CBPE Capital LLP,London
CBRE Limited,London
CBS Interactive Ltd,London
CCBI Metdist Global Commodities (UK) Limited,London
CCI Corporation UK Limited,London
CCIC London Company Limited,London
CCMP Capital Advisors (UK) II Limited,London
CCP Games UK Limited,London
CCQS UK Ltd.,London
CCS Investors Ltd,London
CD Capital Asset Management Limited,London
CD&R LLP,London
CDC Group,London
CDD Clothing Design Development Ltd,London
"CDNetworks Europe, Co.Ltd.",London
CDP Worldwide,London
CDPQ London LLP,London
CDW Limited,London
CECILE LTD; t/a ETRE CECILE,London
Cecilia Brunson Projects Limited,London
CECP ADVISORS LLP,LONDON
CED Corporation Ltd,LONDON
Cedar Consulting (UK) Ltd,London
CedarKnight Limited,London
Cederberg Capital Ltd,London
Ceebr Limited,London
CEED Ltd,London
CEENA LIMITED,LONDON
CEG Europe Limited,London
Celador Consulting Ltd,London
Celebro Media Production Limited,London
Celer Technologies Limited,London
Celestial Globe Consultancy Ltd,London
Cell Medica Limited,London
Cell Therapy Catapult,London
Cellebrite UK Limited,London
Celtic Broadcasting Limited,London
Celtra Limited,London
Ceniarth (UK) Ltd,London
Centaur Media plc,London
Centene UK Limited,London
Center for Creative Leadership Ltd,London
"Centerbridge Partners Europe, LLP",London
CENTERVIEW PARTNERS UK LLP,LONDON
Central and North West London NHS Foundation Trust,London
Central Bank of the Republic of China (Taiwan),London
Central City Training Venues Ltd,London
Central Harvest Church,London
Central Japan Railway Company,London
Central London Community Healthcare NHS Trust,London
Central Markets (London) Ltd,London
Central School of Ballet,London
Central Test UK Limited,London
CENTRE ACADEMY LONDON,LONDON
Centre for Economic and Business Research,London
CENTRE FOR EDUCATION LTD,London
Centre for Entrepreneurs,London
Centre for European Reform,London
Centre for International Christian Ministries,London
Centre for Jewish Life,London
Centre People Appointments Ltd,London
CentrePoint Software,London
Centrepoint Soho,London
Centreville Partners Limited,London
CENTRUM (UK) Ltd,London
Centurion Portfolio Managers,London
Century Properties International Ltd,London
Centurycomm Limited T/A Racing Post,London
CenturyLink Communications UK Ltd,London
CER CONSTRUCTION LIMITED,London
Cerberus European Capital Advisors LLP,London
Cerillion Technologies Limited,London
CERNER LIMITED,LONDON
Cerulli Associates Europe Ltd,London
Cervello Limited,London
CET Capital Limited,London
Cevian Capital (UK) LLP,London
Cezanne HR Limited,London
CF Partners (UK) LLP,London
CFA Institute,London
CFC UNDERWRITING LIMITED,LONDON
CFD Engineering Limited,London
CFH Clearing Limited,London
CFOR,London
CFRA UK Limited,London
CG Holdings (CG Restaurants & Bars_,London
Cgate UK Limited,London
CGI SPECIALISED SERVICES LIMITED,LONDON
CGN Europe Energy Wales Holding Ltd,LONDON
CH2M HILL UNITED KINGDOM,London
Chabad UK Congregation Beis Menachem,London
Chain of Hope,London
Chalegrove Properties Limited,London
Chalk Studios Ltd,London
Challenge Group Brokers (UK) Ltd,London
Chamber Orchestra of Europe,London
CHAMBERLAINS UK LLP,LONDON
"Chambers of M M Hossain, Hossain Law Associates",London
Chandler Chicco (UK) Limited,London
Chanel Limited,London
Change Board Holdings Limited,London
Change Management Group Ltd,London
Changhwa Commercial Bank Ltd,London
Channel 3 Consulting Limited,London
CHANNEL 4 TELEVISION CORPORATION,LONDON
Channel Capital Advisors LLP,London
ChannelAdvisor UK Ltd,London
Channing Lucas & Partners Limited,London
Channing School,London
ChapmanBDSP,London
ChapmanBlack Ltd,London
Charis Industrial Services Ltd,London
Charity Finance Group,London
Charity Projects (Comic Relief),London
Charles Knowles Design Limited,London
"Charles River Development, ltd",London
CHARLES RUSSELL SPEECHLYS LLP,LONDON
Charles Street Solutions Limited,London
Charles Taylor Plc,London
Charles Tyrwhitt Shirts Limited,London
Charlotte Green T/A Storm Inventories,London
CHARLOTTE'S PLACE,LONDON
CHARLTON ATHLETIC FOOTBALL COMPANY LIMITED,LONDON
Charlton Athletic Football Company Ltd,London
Charm UK Limted t/a Asante Academy of Chinese Medicine,London
Chartered Institute of Arbitrators,London
Chartered Institute of Public Finance and Accountancy,London
Chartis Research Ltd,London
Chase Erwin,London
CHASSAY STUDIO LTD.,London
Chatham Financial Europe Ltd,LONDON
Chatila Limited,London
Chatime UK Ltd,London
Chaucer Group Limited,London
Chaucer Syndicates Limited,London
Checkout Ltd,London
CHECKRECIPIENT LIMITED,London
Chef Software UK Limited,London
CHEIL EUROPE LTD,London
Chelmack Limited T/a Northcote Pharmacy,London
Chelsea & Westminster NHS Foundation Trust,London
Chelsea Apps Factory Limited,London
Chelsea FC plc,London
Chelsea Football Club limited,London
Chelsea Independent College,London
ChemChina UK Limited,London
Chenavari Financial Group Ltd,London
Cheniere Marketing Limited,London
Cherie Blair Foundation for Women,London
CHERISH PR LIMITED,LONDON
Cherry Court Hotel,London
CHERRY LONDON LIMITED,LONDON
Cheung Kong Graduate School of Business (Europe) Limited,London
Chevalier Technologies Limited,London
Chevron Energy Limited,London
Cheyne Capital Management (UK) LLP,LONDON
CHIARO TECHNOLOGY LTD,LONDON
Chicago Mercantile Exchange (CME),London
Child and Child,London
Child Rights International Network (CRIN),London
Child to Child,London
ChildHope UK,London
children ahead ltd.,london
Children with Cancer UK,London
Chile Copper Limited,London
Chiltern Street Hotel Limited,London
Chilton Investment Company Limited,London
Chime Communications Limited,London
China Association for International Exchange of Personnel,London
China Aviation Oil (Europe) Ltd,London
China CITIC Bank Corporation Limited London Representative Office,London
China Classification Society,London
China Construction Bank (London) Limited,London
China Construction UK Limited,London
China Council for the Promotion of International Trade Representative Office,London
China Daily UK Co. Ltd,London
China Design Centre Ltd,London
China Development Bank London Representative Office,London
China Eastern Airlines Corporation Limited,London
China General Nuclear Power Corporation Ltd,London
China Holidays Ltd,London
China International Capital Corporation (UK) Limited,London
China Life Investment Holding Company Limited UK Representative Office,London
"China Merchants Bank Co., Ltd.",London
China Merchants Securities (UK) Limited,London
CHINA MINSHENG BANKING CORP. LTD. REPRESENTATIVE OFFICE,LONDON
China Mobile International (UK) Limited,London
China National Publications Import & Export Corporation London Office,London
China National Tourist Office,London
China Petroleum & Chemical Corporation,London
China Re Underwriting Agency Limited,London
China Taiping Insurance (UK) Co Ltd,London
CHINA TAIPING INSURANCE (UK) CO LTD,London
China Tang London Limited,London
China Telecom (Europe) Ltd.,London
China Travel Service & Information Centre Ltd,London
China Travel Service (U.K.) Limited,London
China Unicom (Europe) Operations Limited,London
China-Britain Business Council,London
Chinacache Ireland Limited,London
Chinacache Networks (UK) Limited,London
chinadialogue Trust,London
Chinese Business Gazette UK Ltd,London
Chinese business Gazette,London
Chinese Church in London,London
CHINESE EMBASSY,LONDON
Chinmaya Mission UK,London
Chinook Urban Mining Limited,London
Chintai UK Ltd,London
Chiswick School,London
Chivas Brothers Ltd,London
Chiyoda International Limited,London
Choice Forex Limited,London
Choice International Limited,London
Choice Technologies Limited,London
Choosey Limited,London
Chopard (GreatBritain)  Ltd.,London
Chorus Capital Management Limited,London
Chowdhary & Co,London
CHP Consulting Limited,London
CHRIS DYSON ARCHITECTS LLP,LONDON
CHRIST APOSTOLIC CHURCH (Full Gospel),LONDON
CHRIST APOSTOLIC CHURCH (GOSPEL GENERATION0,LONDON
Christ Apostolic Church God is Love.,London
Christ Apostolic Church Outreach,London
CHRIST FOUNDATION MINISTRIES,London
CHRIST MIRACLE CHURCH MISSION,LONDON
CHRIST PEOPLE'S MINISTRIES INTERNATIONAL,london
Christ the King Catholic Primary School,London
CHRIST THE KING DOMINION PLACE,LONDON
Christ Victory Centre International,London
ChristChurch,London
Christian Aid,London
Christian Dior UK Limited,London
Christian Orthodox Convent of the Annunciation,London
"Christie, Manson & Woods Limited",London
Christoph Behling Design Ltd,London
Chromosol Ltd,London
Chrysalis Group Limited,London
Chrystal Capital LLP,London
Chubb European Group Limited,London
"Chubu Electric Power Co., Inc.",London
Chucklefish Ltd,London
Chugai Pharma Europe Ltd,London
Chugoku Paints (UK) Ltd,London
Chump Productions Ltd,London
Church of England Central Services,London
Church Resources Ministries,London
Church Urban Fund,London
Churchfield Primary School,London
Churchill Duffle company ltd,London
Churchill Group Ltd,London
Churchman Landscape Architects Ltd,London
Ci&T UK Limited,London
CIBT UK Ltd,London
Cielo Talent Ltd,London
Ciena Limited,London
Ciesco Ltd,London
Cigniti Technologies (UK) Limited,London
Ciklum UK Limited,London
Cilantro Engineering UK,London
CIMB Bank Berhad,London
Cimcon Software (UK) Limited,London
Cimpress (UK) Limited,London
Cineflix Rights Limited,London
Cinesite VFX Ltd,London
Cinimod Studio Ltd,London
Cinven Partners LLP,London
Cipla (UK) Ltd,London
Circle Community Limited,London
Circle UK Trading Ltd,London
Circle,London
Circus of Horrors ltd,London
Cirdan Capital Management Limited,London
Cireson Software UK Ltd,London
Cirrico Ltd,London
CIS London & Partners LLP,London
CIT GROUP PARTNERS LLP,LONDON
Citadel Enterprise Europe Limited,London
Citco London Ltd,London
Citi Group,London
CITIC Construction (UK) Limited,London
CitiCourt & Co Limited,London
Cititec Associates Ltd,London
City & Financial Global Limited,London
City AM Ltd,London
City and Hackney Carers Centre,London
City Apartments Limited,London
City Asset Management Plc,London
City Bangladesh Community and Cultural Centre Trust,London
City Credit Capital,LONDON
City Financial Investment Company Limited,London
City Fios Consultants,London
City Gates Church,London
City Gateway,London
CITY LANGOUSTE LIMITED T/A TRATTORIA VERDI,LONDON
City Mandarin Ltd t/a Practical Mandarin,London
City Miyama Restaurant,London
City of London Academies Trust,London
City of London Corporation (Barbican Centre),LONDON
City of London Corporation,London
City of London Sinfonia Ltd,London
City of Peace Community Church,London
City Pantry Ltd,London
City Print & Design Ltd,London
City Road Communications,London
"City, University of London",London
Citygrove Professional Services Limited,London
Citymapper Limited,London
Citypoint Trading Limited,London
CITYSCAPE DIGITAL LIMITED,LONDON
CITYWHARF PROPERTY INVESTMENT CONSULTANCY,LONDON
Citywire Financial Publishers Ltd,London
Civic Conferences Ltd,LONDON
Civil Aviation Authority,London
Civitas Learning International Ltd,LONDON
CIVVALS LIMITED,London
CJ Food Europe LTD,London
CK Morgan Ltd,London
CKR Law (UK) Limited,London
CL & Co Management Services Limited,London
Cladern Ltd,London
Claimbase Limited,London
Claire's Accessories UK Ltd,London
Clapham Bay Ltd T/A Gigalum,London
Clapham Manor Primary School & Children's Centre,London
Clapham Visionplus Ltd TA Specsavers Clapham Ltd,London
Clara Grant Primary School,London
Clarabridge UK Limited,London
Claranet Ltd,London
Clarendon House Capital,London
Claridge Capital Limited,London
Claridge's Hotel Limited,London
Clarins (UK) Limited,London
Clarion Events Ltd,London
Clarisford Contracting Limited,London
Clarity Capital Partners Limited,London
Clarity Search Limited,London
Clarivate Analytics (UK) Limited,London
Clarke and Co,London
Clarke Nicholls Marcel (Civil & Structural Engineers) Limited,London
Clarksons PLC,London
Classic Real Estate Ltd,London
Classical Events Ltd,London
Classique Co. Trading Ltd,London
ClauseMatch Limited,London
Clean Energy Partners CEP Services Limited,London
Cleantech Group Europe Limited,London
Clear Channel International Limited,London
CLEAR CHANNEL UK LIMITED,London
Clear Ideas Consultancy LLP,London
Clear Score Technology Limited,London
Clear Village Charitable Trust,London
Clearmacro Limited,London
Cleary Gottlieb Steen & Hamilton LLP,London
Clerkswell Limited,London
CLH Pipeline System (CLH-PS) Ltd,London
Click On Media Limited,London
ClickView Limited,London
ClientEarth,London
Clifford Chance LLP,London
Climate Bonds Initiative,London
Climate Policy Initiative,London
Climate-KIC (UK) Ltd,London
Climbing Creative Ltd,London
CLIMPSON & SONS LTD,LONDON
Clinical Trials Laboratory Services Limited,London
Clipper Capital Advisors LLP,London
Clippings Ltd,London
Clive Hall Day Nursery Ltd,London
Clivedale Ventures Limited,London
Clockwork Pharmacy Ltd,London
Close Brothers Group plc,London
Closer Artists,London
Cloud Made Limited,London
Cloud Socius Limited,London
Cloud66 Limited,London
Cloudera (UK) Limited,London
CloudFlare Limited,London
CloudMargin Limited,London
Cloudmark Europe Limited,London
CloudNC Ltd,London
Cloudreach Europe Limited,London
Cloudscraper UK Ltd,London
CloudSense,LONDON
CLS UK Intermediate Holdings Ltd,London
CLSA (UK),London
Club Caribbee Limited,London
Club Kaede Limited,London
Club Med S.A.S,London
ClusterSeven Services Limited,London
CLUTCH CONSULTANCY UK LTD,LONDON
CLX Communications Ltd,London
Clyde & Co LLP,London
CMC Markets UK Plc,London
CMI 43 Ltd,London
CMS Cameron Mckenna Nabarro Olswang LLP,London
CMS Distribution Limited,London
CMT Design & Construction Ltd,London
CNA Insurance Company Limited,London
CNC - Communications & Network Consulting Limited,London
CNW Capital Service Ltd.,London
Coach Stores Ltd,London
Coalition Development Ltd,London
Coalition Talent  Ltd,London
Coast2Coast Capital (UK) Ltd,London
Cobalt Consulting (UK) Ltd,London
Cobham plc,London
Cochrane,London
Coco de Mer Limited,London
Cocoon Global,London
COCORO BAYSWATER LTD T/A COCORO KAISEKI,London
Cocorose London Limited,London
Cocovara Interiors Ltd,London
Coda Agency Limited,London
Code Advisors Limited,London
Codegen Ltd,London
Codehouse Limited,London
Codex Global Limited,London
Coex Partners Limited,LONDON
COFCO (UK) LIMITED,LONDON
Coffin Inc ltd,London
COFRA (CDG) Limited,London
Cogence Search Ltd,London
COGENCY GLOBAL (UK) LIMITED,London
Cogitare Limited,London
COGMOTIVE LTD,LONDON
COGNACITY LTD,LONDON
Cognia Cloud Limited,London
Cognitive Group Ltd,London
Cognitive Scale UK Ltd,London
Cognito Europe Ltd,London
Cognizant Worldwide Limited,London
Cognosec Limited,London
Cognosis Limited,London
Cogora Group Ltd,London
Cohaesus Projects Limited,London
COHEN & COMPANY FINANCIAL LIMITED,LONDON
Coindesk Limited,London
CoinFurniture Ltd,London
ColArt International Holdings Ltd,London
Colas Rail Limited,London
Coleman Research,London
COLEX CONNECT LTD,LONDON
Collabera Europe Limited,London
Collaborative Solutions Europe Limited,London
Collage Boy Art Ltd,London
Collection Consulting Ltd.,London
Collective Europe Ltd,London
College of Optometrists,London
Coller Capital Ltd,London
Collibra UK Ltd,London
Colliers International Property Consultants Limited,London
Colobus Limited,London
Colony Capital LLC,London
"Colony Northstar UK, Ltd",London
Colossusbets Limited,London
Colour Sound Experiment Ltd,London
Colt Technology Services Group Limited,London
"Columbia Lake Partners Manager, LLP",London
COLUMBIA PICTURES CORPORATION LIMITED,London
COLUMBUS FORTY SIX LTD,London
Columbus Point LLP,London
Column Technologies (UK) Ltd,London
COMAC Capital LLP,London
Comarch UK LTD,London
Comboni Missionary Sisters (Missionary Sisters of Verona),London
Comet Solutions Limited,London
Commcise Software Limited,London
Commerzbank AG,London
Commodity Europe Ltd,London
Commonwealth Association of Tax Adminstrators,London
Commonwealth Bank of Australia,London
Commonwealth Local Government Forum,London
Commonwealth Secretariat,London
Commonwealth Telecommunications Organisation,London
Commonwealth Youth Exchange Council,London
Community Counselling Service (UK) Limited,London
Community Schools Trust,London
Community Security Trust,London
Commusoft,London
Como Holdings (UK) Limited,London
Como No,London
COMO UK Limited,London
Comojo (UK) Limited Trading as COMO Metropolitan London,London
Compact Communications Limited T/A Potrika,London
CompactGTL Ltd,London
Company 85 Limited,London
Company NBN Limited,London
Company Watch Limited,London
COMPASS SCHOOLS TRUST,LONDON
COMPASS WEB DESIGN LTD,LONDON
CompatibL Technologies Ltd,London
Competence Assurance Solutions Ltd.,London
Competentia UK Ltd,London
Competere Ltd,London
Compliance Online Limited,London
Complyport Limited,London
Compurants Limited (t/a inamo restaurants & bars),London
Computamatrix Limited Trading As Matrica,London
Computer Aid International,London
ComRes,London
comScore UK Ltd,London
comsec consulting uk ltd.,LONDON
